name,style,ingredients,cook_time,difficulty,suitable_time,suitable_weather,suitable_season,source_recipe_id,source_url,source_category,source_main_taste,source_main_season,source_review_count,source_avg_rating,source_scrap_count
3대천왕 황태국 - 사골국물처럼 뽀얀 황태국 비법,한식,"황태포g,들기름,물,감자작은것,대파채,소금,후추,조리용나이프,대접",30,쉬움,"점심,저녁","맑음,비,눈,더위,추위","봄,여름,가을,겨울",6852559,https://www.10000recipe.com/recipe/6852559,국/탕,,,434,,
고추장삼겹살 짱맛 양념,한식,"삼겹살,양파,고춧가루,고추장,간장,설탕,올리고당,미림or청주,마늘,참기름",60,쉬움,저녁,"맑음,비,눈,더위,추위","봄,여름,가을,겨울",6838588,https://www.10000recipe.com/recipe/6838588,메인반찬,,,422,,
"돼지고기김치찌개, 김치찌개 맛있게 끓이는법, 돼지김치찌개 만드는법, 목살 김치찌개..",한식,"배추김치,돼지목살,멸치육수,대파,양파,마늘,고춧가루,간장,김치국물,참기름,후추,조리용나이프",60,쉬움,저녁,"맑음,비,눈,더위,추위","봄,여름,가을,겨울",4295567,https://www.10000recipe.com/recipe/4295567,찌개,,,421,,
(집에서 즐기는 술안주) 순대볶음 - 간단 술안주,한식,"순대,양파,깻잎,떡국떡,양배추,당근,고춧가루,고추장,간장,설탕,올리고당,매실액,마늘,참기름,후춧가루,통깨",30,쉬움,"점심,저녁","맑음,비,눈,더위,추위","봄,여름,가을,겨울",6882270,https://www.10000recipe.com/recipe/6882270,메인반찬,,,418,,
돼지고기 김치찌개 달인이 되는 황금레시피,한식,"돼지고기앞다리살,배추김치,대파,청양고추,물,된장,들기름or참기름,설탕,마늘,후추",30,쉬움,"점심,저녁","맑음,비,눈,더위,추위","봄,여름,가을,겨울",6961294,https://www.10000recipe.com/recipe/6961294,찌개,,,405,,
삼겹살김치말이찜 만들기 - 양싸,한식,"삼겹살,김치,포기,대파,홍고추,청양고추,사골곰탕시판용,고추장,조리용나이프",30,쉬움,"점심,저녁","맑음,비,눈,더위,추위","봄,여름,가을,겨울",6862218,https://www.10000recipe.com/recipe/6862218,메인반찬,,,380,,
해물찜처럼 맛있는 백종원 소시지콩나물찜,한식,"콩나물,비엔나소시지,대파,양파,믈,고추장,고춧가루,간장,설탕,간마늘,참기름,조리용나이프",30,쉬움,"점심,저녁","맑음,비,눈,더위,추위","봄,여름,가을,겨울",6899265,https://www.10000recipe.com/recipe/6899265,메인반찬,,,378,,
"진미채 볶음, 짭쪼름 달달 간장소스, 초간단 밑반찬",한식,"진미채,마요네즈,간장,맛술,마늘,설탕,올리고당,깨",15,쉬움,"아침,점심,야식","맑음,비,눈,더위,추위","봄,여름,가을,겨울",6864876,https://www.10000recipe.com/recipe/6864876,,,,364,,
실패 없는 백종원 레시피 :: 소고기뭇국,한식,"무,소고기,물,대파,참기름,마늘,간장,소금,설탕,후추",60,쉬움,저녁,"맑음,비,눈,더위,추위","봄,여름,가을,겨울",6897772,https://www.10000recipe.com/recipe/6897772,국/탕,,,363,,
대패삼겹살을 넣은 두부김치만들기,한식,"대패삼겹살,김치,포기,양파,두부,마늘,소면,고추장,고춧가루,간장,설탕,생강가루,올리고당",30,쉬움,"점심,저녁","맑음,비,눈,더위,추위","봄,여름,가을,겨울",6843483,https://www.10000recipe.com/recipe/6843483,메인반찬,,,357,,
액젓돼지불고기~[백선생 액젓불고기 따라하기],한식,"돼지고기불고기용,양파작은거,대파,까나리액젓,설탕,마늘,참기름,생강술,후추,통깨",30,쉬움,"점심,저녁","맑음,비,눈,더위,추위","봄,여름,가을,겨울",6872933,https://www.10000recipe.com/recipe/6872933,메인반찬,,,356,,
